COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Lake,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Age groups,0–4 years,5,(0.6–9.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Madera,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Placer,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sacramento,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Benito,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Diego,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Francisco,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Cruz,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Age groups,5–17 years,9.5,(7.6–11.4),,
Alameda,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Alpine,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Glenn,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lake,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Age groups,5–17 years,8.3,(4.8–11.7),,
Madera,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Placer,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Age groups,5–17 years,13,(3.3–22.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Benito,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,5–17 years,14.5,(1.2–27.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2017–2018,Age groups,5–17 years,8.2,(3.2–13.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Francisco,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,5–17 years,16.5,(3.9–29.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Age groups,18–64 years,9,(8.2–9.8),,
Alameda,2017–2018,Age groups,18–64 years,8.3,(5.2–11.3),,
Alpine,2017–2018,Age groups,18–64 years,19,(3.7–34.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
